timestamp,node_id,tilt_x,tilt_y
2026-09-01 00:00:00,N01,0.5248,0.2931
2026-09-01 00:05:00,N01,0.5324,0.3762
2026-09-01 00:10:00,N01,0.4883,0.2883
2026-09-01 00:15:00,N01,0.579,0.3384
2026-09-01 00:20:00,N01,0.4765,0.3271
2026-09-01 00:25:00,N01,0.4768,0.2767
2026-09-01 00:30:00,N01,0.5121,0.2043
2026-09-01 00:35:00,N01,0.4138,0.2719
2026-09-01 00:40:00,N01,0.4494,0.3157
2026-09-01 00:45:00,N01,0.4546,0.2294
2026-09-01 00:50:00,N01,0.5733,0.2887
2026-09-01 00:55:00,N01,0.5034,0.2288
2026-09-01 01:00:00,N01,0.4728,0.3055
2026-09-01 01:05:00,N01,0.4425,0.3188
2026-09-01 01:10:00,N01,0.47,0.2854
2026-09-01 01:15:00,N01,0.4699,0.3926
2026-09-01 01:20:00,N01,0.4993,0.2471
2026-09-01 01:25:00,N01,0.5411,0.239
2026-09-01 01:30:00,N01,0.5104,0.202
2026-09-01 01:35:00,N01,0.4336,0.3098
2026-09-01 01:40:00,N01,0.5369,0.3086
2026-09-01 01:45:00,N01,0.4942,0.2849
2026-09-01 01:50:00,N01,0.4261,0.264
2026-09-01 01:55:00,N01,0.477,0.3529
2026-09-01 02:00:00,N01,0.5172,0.2118
2026-09-01 02:05:00,N01,0.5162,0.2807
2026-09-01 02:10:00,N01,0.4662,0.3306
2026-09-01 02:15:00,N01,0.5515,0.3466
2026-09-01 02:20:00,N01,0.458,0.2845
2026-09-01 02:25:00,N01,0.5166,0.3488
2026-09-01 02:30:00,N01,0.476,0.2907
2026-09-01 02:35:00,N01,0.4447,0.2402
2026-09-01 02:40:00,N01,0.5406,0.3678
2026-09-01 02:45:00,N01,0.4964,0.3502
2026-09-01 02:50:00,N01,0.5181,0.2677
2026-09-01 02:55:00,N01,0.5181,0.3769
2026-09-01 03:00:00,N01,0.4982,0.3782
2026-09-01 03:05:00,N01,0.369,0.3411
2026-09-01 03:10:00,N01,0.5044,0.285
2026-09-01 03:15:00,N01,0.5046,0.2006
2026-09-01 03:20:00,N01,0.489,0.3179
2026-09-01 03:25:00,N01,0.5739,0.2741
2026-09-01 03:30:00,N01,0.4596,0.2749
2026-09-01 03:35:00,N01,0.5458,0.3164
2026-09-01 03:40:00,N01,0.4735,0.3257
2026-09-01 03:45:00,N01,0.5049,0.3484
2026-09-01 03:50:00,N01,0.4649,0.2836
2026-09-01 03:55:00,N01,0.4804,0.2268
2026-09-01 04:00:00,N01,0.5148,0.3131
2026-09-01 04:05:00,N01,0.5003,0.2883
2026-09-01 04:10:00,N01,0.4292,0.279
2026-09-01 04:15:00,N01,0.4829,0.2599
2026-09-01 04:20:00,N01,0.4919,0.3202
2026-09-01 04:25:00,N01,0.5943,0.3087
2026-09-01 04:30:00,N01,0.5129,0.2963
2026-09-01 04:35:00,N01,0.4041,0.2987
2026-09-01 04:40:00,N01,0.503,0.4232
2026-09-01 04:45:00,N01,0.4904,0.3151
2026-09-01 04:50:00,N01,0.4983,0.2416
2026-09-01 04:55:00,N01,0.5571,0.3376
2026-09-01 05:00:00,N01,0.5396,0.2545
2026-09-01 05:05:00,N01,0.5701,0.2299
2026-09-01 05:10:00,N01,0.5293,0.4095
2026-09-01 05:15:00,N01,0.4505,0.2717
2026-09-01 05:20:00,N01,0.505,0.2748
2026-09-01 05:25:00,N01,0.4225,0.3034
2026-09-01 05:30:00,N01,0.4469,0.3237
2026-09-01 05:35:00,N01,0.454,0.3775
2026-09-01 05:40:00,N01,0.4608,0.2839
2026-09-01 05:45:00,N01,0.5407,0.2385
2026-09-01 05:50:00,N01,0.5114,0.3654
2026-09-01 05:55:00,N01,0.4196,0.3092
2026-09-01 06:00:00,N01,0.513,0.3391
2026-09-01 06:05:00,N01,0.4382,0.234
2026-09-01 06:10:00,N01,0.5261,0.3148
2026-09-01 06:15:00,N01,0.5125,0.3173
2026-09-01 06:20:00,N01,0.466,0.3116
2026-09-01 06:25:00,N01,0.5147,0.2643
2026-09-01 06:30:00,N01,0.5933,0.3237
2026-09-01 06:35:00,N01,0.4404,0.3328
2026-09-01 06:40:00,N01,0.4513,0.3394
2026-09-01 06:45:00,N01,0.5579,0.259
2026-09-01 06:50:00,N01,0.5482,0.3206
2026-09-01 06:55:00,N01,0.5411,0.3948
2026-09-01 07:00:00,N01,0.4877,0.2623
2026-09-01 07:05:00,N01,0.4555,0.2592
2026-09-01 07:10:00,N01,0.4961,0.3171
2026-09-01 07:15:00,N01,0.5138,0.3414
2026-09-01 07:20:00,N01,0.5007,0.3727
2026-09-01 07:25:00,N01,0.4868,0.436
2026-09-01 07:30:00,N01,0.5313,0.2571
2026-09-01 07:35:00,N01,0.4465,0.3241
2026-09-01 07:40:00,N01,0.4888,0.3357
2026-09-01 07:45:00,N01,0.5237,0.2964
2026-09-01 07:50:00,N01,0.4577,0.2243
2026-09-01 07:55:00,N01,0.4777,0.3428
2026-09-01 08:00:00,N01,0.5107,0.2377
2026-09-01 08:05:00,N01,0.5087,0.3193
2026-09-01 08:10:00,N01,0.4558,0.3077
2026-09-01 08:15:00,N01,0.5029,0.2429
2026-09-01 08:20:00,N01,0.5179,0.328
2026-09-01 08:25:00,N01,0.5542,0.3527
2026-09-01 08:30:00,N01,0.4311,0.2531
2026-09-01 08:35:00,N01,0.5258,0.3257
2026-09-01 08:40:00,N01,0.5258,0.4926
2026-09-01 08:45:00,N01,0.5285,0.3568
2026-09-01 08:50:00,N01,0.5477,0.3326
2026-09-01 08:55:00,N01,0.4842,0.3379
2026-09-01 09:00:00,N01,0.4614,0.2882
2026-09-01 09:05:00,N01,0.4757,0.3041
2026-09-01 09:10:00,N01,0.6157,0.2066
2026-09-01 09:15:00,N01,0.5343,0.2194
2026-09-01 09:20:00,N01,0.4764,0.3544
2026-09-01 09:25:00,N01,0.5032,0.2461
2026-09-01 09:30:00,N01,0.4642,0.334
2026-09-01 09:35:00,N01,0.4635,0.3108
2026-09-01 09:40:00,N01,0.5023,0.2674
